age,attrition,business_travel,daily_rate,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,salary,remote_work
51,No,Unknown,2015.7222222222224,6,3,Unknown,1,1,M,3,5, research director ,3,Unknown,16280.83,42330.17,7,no,13,3.0,3,Full Time,0,Unknown,5,3.0,20,15,15,195370.0,Y
52,No,Unknown,2063.3888888888887,1,4,life sciences,2,3,M,2,5, manager ,3,Unknown,16665.83,43331.17,0,Unknown,14,3.0,1,Unknown,1,34.0,5,3.0,33,11,9,199990.0,Y
42,No,travel_rarely,1984.253968253968,4,2,technical degree,3,3,M,3,5, manager ,4,married,16026.67,41669.33,1,no,11,3.0,4,Unknown,0,22.0,3,Unknown,22,11,15,192320.0,Y
47,No,travel_rarely,1771.4047619047622,2,4,medical,4,1,F,3,4, research director ,3,married,14307.5,37199.5,3,Unknown,19,3.0,2,Full Time,2,Unknown,2,Unknown,20,5,6,171690.0,N
46,No,Unknown,1582.7713464696226,3,3,technical degree,5,1,F,4,4, sales executive ,1,divorced,12783.92,33238.2,2,no,12,3.0,4,Unknown,1,Unknown,5,3.0,19,2,8,153407.04,N
48,No,Unknown,1771.920634920635,22,3,medical,6,4,F,3,4, manager ,4,Unknown,14311.67,37210.33,3,no,11,3.0,2,Unknown,1,Unknown,3,3.0,22,4,7,171740.04,Y
59,No,Unknown,1032.4872861766066,25,3,life sciences,7,1,F,3,3, sales executive ,1,Unknown,8339.32,21682.23,7,Unknown,11,3.0,4,Part Time,0,28.0,3,2.0,21,7,9,100071.84,Y
42,No,travel_rarely,556.2566609977324,1,1,Unknown,8,2,M,3,2, sales executive ,3,married,4492.84,11681.39,1,no,25,4.0,3,Part Time,0,20.0,3,3.0,20,11,6,53914.11,N
41,No,Unknown,1712.1825396825398,2,5,Unknown,9,2,F,3,4, manager ,1,married,13829.17,35955.83,7,no,16,3.0,2,Full Time,1,22.0,2,3.0,18,11,8,165950.0,Y
41,No,travel_frequently,1973.9841269841268,9,3,Unknown,10,1,M,3,5, research director ,3,Unknown,15943.72,41453.67,2,no,17,3.0,2,Unknown,1,21.0,2,4.0,18,0,11,191324.64,N
41,No,non_travel,2060.7063492063494,7,1,Unknown,11,2,F,1,5, research director ,3,Unknown,16644.17,43274.83,1,no,22,4.0,2,Full Time,2,Unknown,3,3.0,21,5,10,199730.0,N
56,No,travel_rarely,1382.7460317460318,23,3,life sciences,12,4,M,3,4, manufacturing director ,2,married,11168.33,29037.67,4,yes,12,3.0,1,Full Time,1,33.0,0,3.0,19,15,9,134020.0,N
38,No,Unknown,1362.5238095238096,10,3,medical,13,2,F,1,3, research director ,3,married,11005.0,28613.0,3,no,12,3.0,1,Full Time,1,Unknown,3,3.0,18,1,11,132060.0,Y
41,Yes,travel_rarely,2016.547619047619,12,3,Unknown,14,2,F,3,5, research director ,3,married,16287.5,42347.5,1,no,12,3.0,4,Full Time,0,Unknown,0,3.0,22,15,8,195450.0,N
55,No,Unknown,1973.9841269841268,14,4,medical,15,3,M,4,5, research director ,2,single,15943.72,41453.67,8,no,11,3.0,4,Unknown,0,Unknown,3,3.0,24,2,15,191324.64,Y
40,No,travel_rarely,1861.373015873016,2,4,Unknown,16,3,F,3,5, manager ,3,Unknown,15034.17,39088.83,0,no,14,3.0,4,Full Time,0,Unknown,2,3.0,20,1,12,180410.0,N
58,Yes,travel_rarely,1985.6984126984123,2,4,Unknown,17,4,M,3,5, research director ,2,single,16038.33,41699.67,7,yes,12,3.0,4,Full Time,0,40.0,2,3.0,31,13,8,192460.0,N
46,No,travel_rarely,1582.7713464696226,2,3,Unknown,18,3,F,3,4, manager ,1,Unknown,12783.92,33238.2,8,Unknown,23,4.0,1,Unknown,0,28.0,2,3.0,26,15,9,153407.04,N
35,No,Unknown,556.2566609977324,13,5,life sciences,19,2,M,4,2, research scientist ,1,married,4492.84,11681.39,1,Unknown,11,3.0,4,Unknown,0,Unknown,2,3.0,16,1,10,53914.08,N
40,No,travel_rarely,1032.4872861766066,15,3,life sciences,20,1,F,2,3, manufacturing director ,3,Unknown,8339.32,21682.23,1,Unknown,13,3.0,4,Unknown,2,18.0,2,Unknown,18,14,12,100071.84,Y
45,No,non_travel,1108.920634920635,1,1,Unknown,21,3,M,2,3, healthcare representative ,3,Unknown,8956.67,23287.33,3,Unknown,23,4.0,4,Full Time,1,25.0,3,2.0,23,14,4,107480.0,N
33,No,Unknown,1032.4872861766066,1,2,life sciences,22,1,F,3,3, research director ,4,single,8339.32,21682.23,1,yes,12,3.0,3,Part Time,0,15.0,1,3.0,15,8,12,100071.84,Y
